6.1,-79.876960,43.258926,115.10,1.81,0.49,-512,-608,16480,-245,513,-76,-31.29,7.69,992.81,-6406.44,13708.33,-598.85
6.2,-79.876968,43.258926,115.25,1.73,0.41,-560,-288,16496,-240,507,-73,-30.03,6.49,993.34,-6419.14,13641.64,-584.30
6.3,-79.876968,43.258926,114.94,1.74,0.59,-688,128,16464,-215,492,-55,-30.14,9.32,993.52,-6267.51,13496.91,-443.04
6.4,-79.876968,43.258926,114.68,1.67,0.90,-544,400,16592,-215,492,-55,-28.92,14.23,994.81,-6138.63,13373.88,-322.97
6.5,-79.876968,43.258926,114.36,1.59,1.29,-512,608,16464,-211,492,-55,-27.59,20.31,994.77,-6002.92,13269.58,-220.92
6.6,-79.876968,43.258926,113.99,1.53,1.62,-512,624,16320,-206,489,-52,-26.46,25.64,993.46,-5855.08,13163.36,-112.67
6.7,-79.876968,43.258926,113.65,1.47,1.77,-512,384,16272,-204,487,-54,-25.50,27.94,991.91,-5716.47,13061.62,-34.73
6.8,-79.876968,43.258926,113.35,1.39,1.81,-448,224,16272,-204,487,-54,-24.09,28.43,990.60,-5598.64,12975.13,31.53
6.9,-79.876968,43.258926,113.05,1.35,1.74,-496,64,16384,-201,483,-49,-23.33,27.37,990.47,-5479.16,12877.89,123.65
7.0,-79.876976,43.258926,112.77,1.21,1.67,-304,48,16368,-202,488,-50,-20.93,26.32,990.23,-5383.80,12824.64,194.48
7.1,-79.876976,43.258926,112.88,1.15,1.49,-416,-176,16304,-214,483,-56,-19.91,23.36,989.44,-5381.53,12749.69,212.49
7.2,-79.876976,43.258926,112.97,1.17,1.33,-544,-176,16336,-214,483,-56,-20.22,20.84,989.06,-5379.60,12685.97,227.79
7.3,-79.876976,43.258926,113.10,1.11,1.19,-400,-176,16352,-219,491,-58,-19.16,18.71,988.88,-5410.12,12678.70,226.02
7.4,-79.876976,43.258926,113.21,1.08,1.02,-448,-272,16496,-218,488,-59,-18.70,16.01,990.00,-5429.71,12655.02,217.63
7.5,-79.876976,43.258926,113.08,1.12,0.97,-560,-96,16384,-205,478,-47,-19.33,15.33,989.97,-5362.07,12575.95,296.43
7.6,-79.876976,43.258926,112.96,1.17,0.95,-592,-80,16480,-205,478,-47,-20.16,14.91,990.79,-5304.58,12508.75,363.42
7.7,-79.876976,43.258926,112.87,1.15,1.07,-480,160,16336,-204,475,-46,-19.85,16.76,990.21,-5249.37,12433.96,427.68
7.8,-79.876983,43.258926,112.87,1.22,1.72,-640,1104,16384,-206,473,-49,-21.06,27.05,990.16,-5215.64,12358.75,461.14
7.9,-79.876983,43.258926,112.88,1.17,2.33,-432,1200,16320,-207,476,-48,-20.18,36.67,989.55,-5193.32,12312.32,496.48
8.0,-79.876983,43.258926,112.78,1.22,2.59,-608,768,16528,-204,477,-46,-21.04,40.87,990.87,-5154.67,12278.76,540.63
8.1,-79.876983,43.258926,112.71,1.25,2.94,-592,976,16480,-204,477,-46,-21.63,46.36,991.57,-5121.82,12250.24,578.16
8.2,-79.876983,43.258926,112.71,1.23,3.23,-512,960,16384,-205,474,-48,-21.40,50.87,991.31,-5100.62,12208.45,596.08
8.3,-79.876983,43.258926,112.61,1.23,3.46,-528,944,16560,-202,475,-46,-21.35,54.56,992.65,-5062.93,12178.84,625.43
8.4,-79.876983,43.258926,112.61,1.26,3.64,-592,912,16368,-205,475,-48,-21.89,57.41,992.09,-5050.50,12153.65,636.19
8.5,-79.876983,43.258926,112.61,1.27,3.86,-560,1024,16304,-205,475,-48,-22.06,60.85,991.05,-5039.94,12132.23,645.33
8.6,-79.876983,43.258926,112.65,1.24,4.00,-480,960,16560,-206,474,-48,-21.47,63.20,992.43,-5037.56,12108.08,653.18
8.7,-79.876983,43.258926,112.65,1.27,4.11,-592,928,16336,-206,477,-49,-21.99,64.89,991.62,-5035.34,12105.27,652.52
8.8,-79.876983,43.258926,112.82,1.29,4.17,-576,864,16304,-215,483,-61,-22.29,65.74,990.64,-5091.86,12138.58,566.31
8.9,-79.876983,43.258926,112.97,1.30,4.31,-576,1040,16608,-215,483,-61,-22.55,68.09,992.51,-5139.90,12166.88,493.02
9.0,-79.876983,43.258926,113.37,1.31,4.46,-576,1072,16384,-236,509,-77,-22.76,70.38,992.11,-5316.26,12343.77,315.22
9.1,-79.876983,43.258926,114.24,1.29,4.48,-512,896,16352,-265,526,-102,-22.36,70.70,991.49,-5654.58,12594.25,-14.66
9.2,-79.876983,43.258926,115.50,1.31,4.50,-592,912,16592,-303,559,-139,-22.75,71.12,993.09,-6188.29,13001.77,-560.21
9.3,-79.876983,43.258926,116.67,1.30,4.60,-544,1040,16352,-311,558,-147,-22.64,72.66,992.32,-6694.30,13342.42,-1080.65
9.4,-79.876983,43.258926,117.59,1.33,4.71,-608,1072,16224,-311,558,-147,-23.14,74.26,990.53,-7124.40,13631.98,-1523.02
9.5,-79.876983,43.258926,118.41,1.34,4.82,-576,1120,16576,-316,561,-150,-23.27,76.07,992.14,-7522.47,13895.66,-1920.56
9.6,-79.876983,43.258926,119.11,1.39,4.98,-656,1248,16624,-321,566,-151,-24.11,78.79,993.93,-7893.20,14148.94,-2265.91
9.7,-79.876983,43.258926,119.47,1.39,5.14,-592,1280,16496,-307,559,-148,-24.24,81.39,994.32,-8117.24,14323.74,-2537.69
9.8,-79.876983,43.258926,119.77,1.41,5.31,-624,1344,16560,-307,559,-148,-24.65,84.20,995.22,-8307.67,14472.33,-2768.70
